2008-2009,Girona
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Rafael Ponzo,ve VEN,GK,37,37,0,0,"3,330",37.0,5,0,/en/players/e6777099/Rafael-Ponzo,6777099,Rafael-Ponzo
Serra,es ESP,DF,37,36,0,4,"3,198",35.5,7,3,/en/players/df52ea5f/Serra,df52ea5f,S
Migue,es ESP,DF,35,35,2,0,"3,095",34.4,4,0,/en/players/13575a4c/Migue,13575a4c,Migu
Jordi Matamala,es ESP,MF,35,34,0,1,"3,105",34.5,11,0,/en/players/b064ff85/Jordi-Matamala,b064ff85,Jordi-Matam
Albert Dorca,es ESP,MF,38,33,1,0,"3,050",33.9,5,2,/en/players/01c3b68a/Albert-Dorca,01c3b68a,Albert-Dorc
José,es ESP,DF,34,33,0,0,"2,964",32.9,14,1,/en/players/bc392378/Jose,bc392378,Jo
David Cañas,es ESP,DF,29,24,5,3,"2,250",25.0,11,1,/en/players/01d8b210/David-Canas,01d8b210,David-C
Diego Rangel,es ESP,DF,23,22,0,0,"1,768",19.6,6,0,/en/players/2380c0fb/Diego-Rangel,2380c0fb,Diego-Rang
Gabri,es ESP,FW,26,20,2,4,"1,740",19.3,7,0,/en/players/b2605b0a/Gabri,b2605b0a,Gabri
Chechu,es ESP,MF,24,18,1,3,"1,696",18.8,3,0,/en/players/3333762c/Chechu,3333762c,Chechu
Raúl Martín,es ESP,MF,26,17,1,3,"1,382",15.4,2,0,/en/players/f81f6fc3/Raul-Martin,f81f6fc3,Raul-Marti
Jordi Xumetra,es ESP,"FW,MF",41,16,2,1,"1,948",21.6,5,0,/en/players/3b79dbdb/Jordi-Xumetra,3b79dbdb,Jordi-Xumet
Paco Esteban,es ESP,FW,26,16,3,0,"1,447",16.1,7,1,/en/players/7e4f04f0/Paco-Esteban,7e4f04f0,Paco-Esteb
Alberto Manga,es ESP,MF,26,16,2,3,"1,419",15.8,4,0,/en/players/a1d84af0/Alberto-Manga,1d84af0,Alberto-Mang
Mikel Amantegui,es ESP,DF,18,15,0,0,"1,403",15.6,3,0,/en/players/f92f842f/Mikel-Amantegui,f92f842f,Mikel-Amantegui
Felipe Sanchón,es ESP,MF,17,14,1,5,"1,301",14.5,4,1,/en/players/f62ff94e/Felipe-Sanchon,f62ff94e,Felipe-Sancho
Arnal Llibert,es ESP,FW,26,14,1,4,"1,294",14.4,0,0,/en/players/6e514348/Arnal-Llibert,6e514348,Arnal-Llibert
Jito,es ESP,FW,22,13,0,3,983,10.9,1,0,/en/players/3adf70f2/Jito,3adf70f2,Jito
Igor de Souza,br BRA,FW,15,10,0,3,913,10.1,3,0,/en/players/1c73ef45/Igor-de-Souza,1c73ef45,Igor-de-Souz
Marc Bernaus,ad AND,DF,10,10,0,0,744,8.3,4,0,/en/players/761ecc1f/Marc-Bernaus,761ecc1f,Marc-Bernau
Jaume Duran,es ESP,,11,8,0,1,622,6.9,1,0,/en/players/e050523f/Jaume-Duran,050523f,Jaume-Du
David Sánchez,es ESP,DF,7,5,1,0,506,5.6,2,0,/en/players/60e0ee7a/David-Sanchez,60e0ee7a,David-Sanchez
Iván Gómez,es ESP,GK,5,5,0,0,450,5.0,1,0,/en/players/12814065/Ivan-Gomez,12814065,Ivan-Gomez
Gerard López,es ESP,MF,5,4,0,4,393,4.4,2,0,/en/players/403b0279/Gerard-Lopez,403b0279,Gerard-Lopez
Hiroshi Ibusuki,jp JPN,FW,6,4,0,0,222,2.5,0,0,/en/players/715bdbe9/Hiroshi-Ibusuki,715bdbe9,Hiroshi-Ibusuki
Óscar Álvarez,es ESP,DF,3,2,0,1,170,1.9,1,0,/en/players/d6b5c64f/Oscar-Alvarez,d6b5c64f,Oscar-Alvarez
Héctor Simón,es ESP,MF,4,2,0,0,126,1.4,1,0,/en/players/6ad334dc/Hector-Simon,6ad334dc,Hector-Simo
﻿2009-2010,Girona
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jordi Matamala,es ESP,MF,38,38,2,3,"3,413",37.9,13,1,/en/players/b064ff85/Jordi-Matamala,b064ff85,Jordi-Matam
Ernesto Galán,es ESP,DF,37,37,0,1,"3,285",36.5,14,0,/en/players/7e4af593/Ernesto-Galan,7e4af593,Ernesto-G
Roberto Peragón,es ESP,FW,38,36,3,9,"2,878",32.0,13,1,/en/players/c1dbaa18/Roberto-Peragon,c1dbaa18,Roberto-Perago
Albert Dorca,es ESP,MF,37,33,1,2,"2,963",32.9,5,0,/en/players/01c3b68a/Albert-Dorca,01c3b68a,Albert-Dorc
Albert Jorquera,es ESP,GK,33,33,0,0,"2,951",32.8,2,1,/en/players/4b0184a5/Albert-Jorquera,4b0184a5,Albert-Jorqu
José,es ESP,DF,33,32,0,0,"2,847",31.6,14,0,/en/players/bc392378/Jose,bc392378,Jo
Migue,es ESP,DF,33,32,1,2,"2,837",31.5,9,1,/en/players/13575a4c/Migue,13575a4c,Migu
Moha,ma MAR,"DF,FW",36,32,6,3,"2,580",28.7,6,0,/en/players/e3d09e03/Moha,3d09e03,Moh
Jordi Xumetra,es ESP,"FW,MF",35,28,1,2,"2,190",24.3,7,1,/en/players/3b79dbdb/Jordi-Xumetra,3b79dbdb,Jordi-Xumet
Kiko Ratón,es ESP,FW,40,25,2,10,"2,471",27.5,9,0,/en/players/1b4d461e/Kiko-Raton,1b4d461e,Kiko-Rato
David Cañas,es ESP,DF,28,25,5,2,"2,267",25.2,9,0,/en/players/01d8b210/David-Canas,01d8b210,David-C
Dani Tortolero,es ESP,DF,23,23,0,3,"2,008",22.3,14,0,/en/players/42481fd5/Dani-Tortolero,42481fd5,Dani-Tortolero
Antonio Calle,es ESP,FW,20,15,1,3,"1,155",12.8,2,0,/en/players/3d3d63b9/Antonio-Calle,3d3d63b9,Antonio-C
Chechu,es ESP,MF,23,12,2,0,"1,024",11.4,2,0,/en/players/3333762c/Chechu,3333762c,Chechu
Gerard López,es ESP,MF,21,11,1,0,"1,059",11.8,8,1,/en/players/403b0279/Gerard-Lopez,403b0279,Gerard-Lopez
Marc Bernaus,ad AND,DF,12,11,0,0,942,10.5,5,0,/en/players/761ecc1f/Marc-Bernaus,761ecc1f,Marc-Bernau
Dani Mallo,es ESP,GK,10,9,0,0,829,9.2,0,0,/en/players/c965e3d0/Dani-Mallo,c965e3d0,Dani-Mallo
Juanma,es ESP,MF,29,7,1,1,"1,148",12.8,5,0,/en/players/a81311e0/Juanma,81311e0,Juanm
Brian Sarmiento,ar ARG,"FW,MF",11,7,0,2,665,7.4,4,0,/en/players/74337456/Brian-Sarmiento,74337456,Brian-Sarmiento
Óscar Álvarez,es ESP,DF,7,5,1,0,502,5.6,3,0,/en/players/d6b5c64f/Oscar-Alvarez,d6b5c64f,Oscar-Alvarez
Marcos Tébar,es ESP,"DF,MF",9,4,0,0,479,5.3,3,0,/en/players/1e806be7/Marcos-Tebar,1e806be7,Marcos-Teb
Javier Almirón,ar ARG,"DF,MF",6,4,0,0,391,4.3,4,0,/en/players/8b8c57b7/Javier-Almiron,8b8c57b7,Javier-Almiro
Germán Beltrán,es ESP,FW,13,2,0,1,312,3.5,1,0,/en/players/552f8f78/German-Beltran,552f8f78,German-Belt
Diego Rangel,es ESP,DF,1,1,0,0,90,1.0,0,0,/en/players/2380c0fb/Diego-Rangel,2380c0fb,Diego-Rang
Gabri,es ESP,FW,8,0,0,1,120,1.3,0,0,/en/players/b2605b0a/Gabri,b2605b0a,Gabri
Alberto Manga,es ESP,MF,4,0,0,0,43,0.5,0,0,/en/players/a1d84af0/Alberto-Manga,1d84af0,Alberto-Mang
Fran,es ESP,MF,2,0,0,0,28,0.3,0,0,/en/players/7e1a6606/Fran,7e1a6606,F
Jordi Masó,es ESP,"DF,MF",1,0,0,0,11,0.1,0,0,/en/players/5047640b/Jordi-Maso,5047640b,Jordi-Maso
﻿2010-2011,Girona
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Albert Dorca,es ESP,MF,40,40,0,1,"3,584",39.8,10,0,/en/players/01c3b68a/Albert-Dorca,01c3b68a,Albert-Dorc
Jandro,es ESP,MF,42,38,9,11,"3,417",38.0,3,0,/en/players/453a1fcd/Jandro,453a1fcd,Jandro
Roberto Santamaría,es ESP,GK,33,33,0,0,"2,934",32.6,3,1,/en/players/bca21ef3/Roberto-Santamaria,bca21ef3,Roberto-Santamari
Migue,es ESP,DF,33,33,1,0,"2,917",32.4,8,1,/en/players/13575a4c/Migue,13575a4c,Migu
Roberto Peragón,es ESP,FW,36,32,4,11,"2,737",30.4,12,2,/en/players/c1dbaa18/Roberto-Peragon,c1dbaa18,Roberto-Perago
Dani Bautista,es ESP,DF,30,28,3,0,"2,536",28.2,7,1,/en/players/135b0a5e/Dani-Bautista,135b0a5e,Dani-Bautist
Serra,es ESP,DF,29,28,0,2,"2,513",27.9,6,2,/en/players/df52ea5f/Serra,df52ea5f,S
José,es ESP,DF,29,28,0,0,"2,508",27.9,11,1,/en/players/bc392378/Jose,bc392378,Jo
Moha,ma MAR,"DF,FW",34,27,3,1,"2,185",24.3,8,2,/en/players/e3d09e03/Moha,3d09e03,Moh
Chechu,es ESP,MF,35,26,8,5,"2,236",24.8,4,1,/en/players/3333762c/Chechu,3333762c,Chechu
Ángel Martínez,es ESP,MF,36,25,6,0,"1,981",22.0,8,0,/en/players/7eb2bab9/Angel-Martinez,7eb2bab9,Angel-Martinez
Marcos Tébar,es ESP,"DF,MF",35,23,0,0,"2,211",24.6,9,1,/en/players/1e806be7/Marcos-Tebar,1e806be7,Marcos-Teb
Ranko Despotović,rs SRB,FW,34,23,5,18,"1,879",20.9,7,1,/en/players/7909655a/Ranko-Despotovic,7909655a,Ranko-Despotovic
Dani Tortolero,es ESP,DF,18,18,0,1,"1,620",18.0,2,0,/en/players/42481fd5/Dani-Tortolero,42481fd5,Dani-Tortolero
Kiko Ratón,es ESP,FW,33,17,2,5,"1,631",18.1,4,0,/en/players/1b4d461e/Kiko-Raton,1b4d461e,Kiko-Rato
Francisco Noguerol,es ESP,DF,19,16,1,0,"1,448",16.1,3,0,/en/players/73bdd0b1/Francisco-Noguerol,73bdd0b1,Francisco-Noguero
Luso,es ESP,"DF,MF",17,13,0,2,"1,161",12.9,2,0,/en/players/9cd41fda/Luso,9cd41fda,Luso
